ID,PA,PB,PC,PD,PE,PF,PG
PR40109,35389,19226,10924,7604,4608,3171,2542
PR40110,35627,19342,10983,7660,4639,3194,2559
PR40111,35901,19481,11064,7715,4674,3218,2580
PR40112,36189,19627,11147,7775,4711,3242,2602
PR40113,36479,19774,11227,7839,4749,3268,2625
PR40114,36748,19909,11300,7896,4781,3290,2645
PR40115,36991,20037,11364,7947,4809,3311,2662
PR40116,37149,20126,11413,7994,4829,3329,2678
PR40117,37259,20201,11454,8027,4844,3342,2690
PR40118,37383,20286,11499,8070,4862,3359,2706
PR40119,37497,20364,11540,8108,4878,3373,2721
PR40120,37605,20438,11579,8142,4893,3387,2734
PR40121,37707,20508,11616,8172,4905,3400,2745
PR40122,37831,20598,11667,8201,4925,3411,2759
PR40123,38123,20750,11744,8266,4958,3436,2780
PR40124,38404,20896,11818,8324,4988,3459,2799
PR40125,38693,21043,11891,8378,5019,3481,2816
PR40126,39001,21202,11971,8438,5054,3507,2838
PR40127,39346,21370,12073,8501,5094,3537,2863
PR40128,39692,21566,12186,8591,5141,3566,2889
PR40129,40035,21755,12311,8677,5190,3597,2916
PR40130,40356,21976,12416,8747,5236,3624,2938
PR40131,40681,22162,12533,8833,5283,3653,2964
PR40132,40984,22368,12635,8903,5327,3680,2986
PR40133,41340,22559,12751,8981,5374,3711,3014
PR40134,41659,22722,12864,9062,5419,3741,3038
PR40135,41981,22888,12975,9143,5462,3770,3063
PR40136,42303,23067,13085,9225,5503,3797,3085
PR40137,42573,23241,13176,9288,5541,3821,3108
PR40138,42848,23395,13282,9368,5583,3849,3130
PR40139,42987,23489,13333,9400,5602,3861,3142
PR40140,43238,23610,13389,9455,5631,3882,3160
PR40141,43506,23746,13464,9513,5663,3904,3179
PR40142,43620,23836,13512,9540,5679,3915,3191
PR40143,43864,23958,13569,9594,5708,3935,3209
PR40144,44003,24051,13615,9634,5727,3950,3222
PR40145,44132,24139,13660,9671,5744,3964,3235
PR40146,44262,24226,13704,9709,5762,3978,3248
PR40147,44389,24313,13749,9750,5780,3993,3262
PR40148,44506,24394,13792,9786,5797,4007,3276
PR40149,44618,24470,13831,9822,5811,4021,3290
PR40150,44974,24641,13927,9886,5850,4051,3313
PR40151,45239,24776,14005,9935,5881,4072,3329
PR40152,45412,24888,14067,9971,5893,4090,3341
PR40153,45716,25047,14160,10028,5929,4117,3361
PR40154,45950,25192,14231,10075,5958,4137,3377
PR40155,46286,25361,14317,10137,5997,4165,3400
PR40156,46605,25537,14410,10195,6031,4192,3420
PR40157,46911,25678,14501,10254,6069,4219,3441
PR40158,47108,25804,14575,10299,6095,4236,3456
PR40159,47391,25947,14674,10367,6133,4261,3476
PR40160,47706,26130,14769,10433,6171,4287,3498
PR40161,48087,26329,14880,10518,6214,4316,3522
PR40162,48306,26505,14967,10579,6252,4338,3542
PR40163,48622,26680,15075,10663,6292,4365,3564
PR40164,48885,26889,15169,10732,6335,4390,3585
PR40165,49236,27079,15281,10819,6380,4418,3610
PR40166,49555,27303,15382,10894,6426,4445,3632
PR40167,49910,27495,15492,10985,6471,4475,3658
PR40168,50197,27711,15589,11058,6516,4500,3680
PR40169,50562,27915,15701,11153,6565,4530,3707
PR40170,50883,28101,15805,11242,6609,4557,3732
PR40171,51211,28307,15905,11311,6652,4586,3756
PR40172,51461,28461,15993,11370,6690,4609,3777
PR40173,51700,28610,16083,11441,6727,4633,3797
PR40174,51917,28738,16172,11520,6767,4656,3816
PR40175,52087,28884,16249,11575,6800,4673,3832
PR40176,52314,29023,16340,11650,6838,4697,3853
PR40177,52527,29154,16419,11706,6873,4717,3871
PR40178,52741,29279,16499,11777,6907,4738,3888
PR40179,52963,29439,16581,11837,6944,4760,3907
PR40180,53188,29560,16660,11903,6977,4781,3925
PR40181,53376,29696,16732,11953,7008,4801,3944
PR40182,53583,29808,16815,12005,7040,4822,3961
PR40183,53723,29900,16886,12047,7067,4845,3968
PR40184,53916,29994,16959,12090,7094,4865,3983
PR40185,54065,30078,17019,12127,7118,4885,3990
PR40186,54292,30186,17089,12168,7149,4906,4005
PR40187,54537,30297,17171,12217,7183,4931,4026
PR40188,54754,30413,17242,12261,7212,4952,4044
PR40189,54997,30542,17318,12308,7243,4976,4063
PR40190,55259,30684,17399,12362,7279,5001,4085
PR40191,55476,30795,17467,12402,7307,5021,4102
PR40192,55654,30891,17528,12443,7331,5039,4120
PR40193,55898,31027,17603,12500,7361,5062,4140
PR40194,56182,31184,17695,12567,7398,5088,4164
PR40195,56449,31332,17781,12630,7432,5112,4186
PR40196,56670,31451,17857,12687,7464,5136,4206
PR40197,56878,31565,17926,12744,7496,5161,4228
PR40198,57118,31688,18007,12804,7528,5186,4248
PR40199,57390,31821,18096,12869,7564,5214,4272
PR40200,57654,31949,18180,12929,7598,5241,4293
PR40201,57938,32087,18269,12991,7634,5268,4313
PR40202,58270,32244,18376,13065,7677,5299,4342
PR40203,58592,32401,18477,13134,7716,5328,4365
PR40204,58942,32587,18585,13212,7762,5360,4393
PR40205,59204,32725,18667,13268,7794,5384,4416
PR40206,59556,32915,18771,13342,7837,5415,4442
PR40207,59928,33114,18883,13417,7885,5448,4471
PR40208,60263,33289,18980,13480,7921,5476,4494
PR40209,60538,33450,19065,13539,7954,5502,4517
PR40210,60901,33638,19166,13606,7992,5531,4540
PR40211,61267,33826,19268,13674,8031,5560,4564
PR40212,61650,34026,19381,13749,8073,5591,4590
PR40213,61978,34185,19473,13821,8110,5618,4612
PR40214,62269,34384,19563,13887,8147,5647,4635
PR40215,62670,34571,19674,13965,8190,5678,4660
PR40216,63040,34759,19781,14042,8231,5708,4684
PR40217,63353,34957,19875,14110,8271,5738,4708
PR40218,63641,35107,19964,14169,8310,5765,4731
PR40219,63868,35227,20034,14213,8339,5787,4749
PR40220,64094,35332,20098,14255,8369,5807,4766
PR40221,64324,35452,20169,14300,8399,5829,4785
PR40222,64535,35564,20235,14341,8425,5850,4802
PR40223,64780,35706,20306,14393,8456,5873,4821
PR40224,65040,35855,20383,14446,8489,5897,4841
PR40225,65274,35978,20457,14495,8518,5918,4860
PR40226,65544,36132,20543,14555,8554,5944,4883
PR40227,65794,36274,20619,14610,8584,5967,4903
PR40228,65998,36376,20691,14659,8613,5987,4924
PR40229,66237,36513,20763,14708,8644,6010,4944
PR40230,66486,36654,20840,14765,8675,6034,4964
PR40231,66749,36815,20929,14825,8715,6061,4989
PR40232,67043,36966,21026,14893,8754,6087,5013
PR40233,67326,37108,21119,14957,8790,6113,5035
PR40234,67604,37249,21207,15019,8826,6138,5057
PR40235,67784,37353,21272,15069,8855,6160,5075
PR40236,67907,37413,21327,15099,8881,6174,5091
PR40237,68125,37530,21403,15156,8912,6198,5109
PR40238,68311,37622,21475,15204,8944,6220,5130
PR40239,68624,37779,21571,15271,8981,6248,5153
PR40240,68933,37945,21665,15338,9019,6275,5178
PR40241,69265,38122,21761,15402,9056,6303,5201
PR40242,69554,38303,21849,15463,9090,6330,5224
PR40243,69953,38518,21959,15537,9133,6362,5250
PR40244,70244,38708,22051,15602,9169,6391,5273
PR40245,70539,38908,22139,15665,9204,6419,5295
PR40246,70831,39107,22228,15731,9240,6448,5317
PR40247,71125,39297,22319,15797,9278,6477,5340
PR40248,71469,39497,22418,15864,9319,6507,5365
PR40249,71875,39713,22547,15944,9366,6543,5394
PR40250,72140,39872,22628,16002,9403,6568,5417
PR40251,72352,39979,22702,16052,9432,6590,5437
PR40252,72623,40132,22783,16107,9467,6614,5458
PR40253,72872,40289,22866,16159,9504,6639,5481
PR40254,73135,40436,22949,16221,9537,6663,5502
PR40255,73402,40583,23033,16283,9570,6687,5523
PR40256,73653,40714,23117,16341,9601,6710,5544
PR40257,73867,40834,23192,16394,9632,6731,5563
PR40258,74092,40956,23271,16449,9665,6754,5583
PR40259,74282,41048,23343,16498,9696,6775,5604
PR40260,74716,41252,23478,16582,9749,6816,5633
PR40261,75138,41470,23608,16666,9802,6854,5665
PR40262,75546,41694,23743,16749,9855,6892,5695
PR40263,75973,41911,23873,16833,9909,6931,5725
PR40264,76321,42101,23969,16895,9946,6962,5749
PR40265,76677,42278,24070,16957,9987,6994,5774
PR40266,77031,42440,24183,17025,10035,7032,5800
PR40267,77412,42632,24309,17103,10089,7070,5829
PR40268,77788,42800,24431,17182,10140,7108,5857
PR40269,78151,42974,24552,17261,10192,7145,5885
PR40270,78507,43152,24671,17340,10243,7182,5914
PR40271,78856,43342,24786,17418,10292,7217,5942
PR40272,79200,43519,24907,17497,10340,7253,5969
PR40273,79541,43687,25016,17572,10380,7287,5997
PR40274,79875,43854,25119,17642,10418,7318,6022
PR40275,80199,44020,25238,17715,10460,7354,6048
PR40276,80502,44169,25338,17782,10497,7386,6073
PR40277,80802,44317,25438,17848,10534,7418,6096
PR40278,81065,44458,25531,17910,10567,7450,6117
PR40279,81463,44657,25649,17990,10611,7482,6144
PR40280,81877,44862,25769,18072,10656,7516,6172
PR40281,82247,45077,25870,18143,10698,7548,6197
PR40282,82678,45299,26001,18226,10748,7584,6227
PR40283,83106,45523,26126,18308,10794,7619,6256
PR40284,83522,45746,26257,18389,10842,7655,6286
PR40285,83927,45965,26388,18469,10891,7691,6317
PR40286,84328,46185,26520,18549,10942,7729,6347
PR40287,84744,46401,26651,18633,10996,7768,6378
PR40288,85104,46592,26753,18698,11039,7799,6403
PR40289,85521,46799,26882,18781,11093,7839,6433
PR40290,85931,46996,27013,18863,11147,7878,6463
PR40291,86335,47178,27140,18943,11200,7918,6491
PR40292,86731,47381,27263,19023,11252,7955,6521
PR40293,87107,47545,27380,19095,11300,7994,6548
PR40294,87447,47714,27477,19155,11338,8025,6573
PR40295,87825,47898,27596,19232,11388,8062,6603
PR40296,88197,48068,27720,19311,11440,8100,6631
PR40297,88568,48248,27836,19390,11489,8137,6660
PR40298,88929,48414,27963,19469,11541,8176,6687
PR40299,89249,48582,28056,19526,11574,8204,6710
PR40300,89606,48751,28183,19606,11624,8242,6737
PR40301,89914,48921,28275,19661,11661,8271,6760
PR40302,90260,49100,28399,19741,11713,8307,6788
PR40303,90603,49287,28512,19816,11761,8342,6816
PR40304,90938,49463,28623,19891,11806,8375,6843
PR40305,91270,49641,28741,19969,11854,8410,6871
PR40306,91603,49810,28852,20043,11895,8444,6898
PR40307,91932,49976,28961,20114,11938,8477,6923
PR40308,92227,50117,29062,20178,11974,8510,6945
PR40309,92549,50285,29178,20253,12022,8543,6973
PR40310,92873,50452,29290,20326,12067,8576,6998
PR40311,93198,50612,29399,20396,12108,8609,7023
PR40312,93524,50781,29522,20475,12158,8645,7050
PR40313,93849,50941,29631,20547,12197,8679,7076
PR40314,94172,51101,29739,20617,12238,8712,7100
PR40315,94408,51230,29818,20677,12264,8740,7121
PR40316,94617,51364,29904,20727,12294,8763,7143
PR40317,94825,51494,29992,20777,12324,8787,7165
PR40318,95013,51616,30076,20823,12353,8811,7188
PR40319,95219,51762,30166,20874,12386,8837,7211
PR40320,95327,51826,30209,20906,12401,8851,7225
PR40321,95601,51971,30295,20960,12440,8878,7246
PR40322,95923,52134,30408,21034,12484,8911,7272
PR40323,96243,52289,30514,21103,12524,8944,7296
PR40324,96561,52441,30618,21170,12564,8976,7320
PR40325,96855,52597,30721,21239,12602,9010,7345
PR40326,97121,52741,30811,21305,12634,9040,7367
PR40327,97311,52855,30881,21347,12660,9060,7385
PR40328,97658,53014,30974,21408,12696,9094,7406
PR40329,97800,53092,31035,21443,12716,9110,7424
PR40330,97932,53167,31089,21480,12735,9125,7441
PR40331,98135,53289,31157,21523,12758,9145,7456
PR40332,98283,53393,31207,21558,12774,9162,7469
PR40333,98608,53559,31329,21633,12820,9197,7495
PR40334,98930,53717,31439,21705,12860,9231,7522
PR40335,99166,53847,31519,21766,12887,9260,7542
PR40336,99478,54000,31623,21835,12926,9293,7568
PR40337,99721,54138,31705,21895,12954,9321,7589
PR40338,99893,54211,31744,21933,12974,9341,7601
PR40339,100095,54293,31793,21977,12992,9360,7613
PR40340,100321,54425,31868,22023,13017,9381,7631
PR40341,100652,54565,31968,22088,13054,9413,7652
PR40342,100991,54715,32066,22159,13090,9443,7675
PR40343,101290,54867,32152,22213,13117,9468,7695
PR40344,101657,55042,32269,22291,13166,9504,7724
PR40345,101957,55199,32358,22345,13198,9531,7747
PR40346,102315,55353,32469,22418,13243,9568,7774
PR40347,102686,55537,32585,22493,13290,9604,7803
PR40348,103065,55696,32710,22569,13341,9643,7829
PR40349,103460,55879,32827,22644,13386,9680,7859
PR40350,103866,56066,32947,22723,13432,9718,7889
PR40351,104272,56239,33064,22797,13476,9757,7919
PR40352,104632,56404,33164,22860,13513,9790,7944
PR40353,105054,56586,33288,22937,13561,9829,7975
PR40354,105375,56695,33377,22990,13584,9857,7994
PR40355,105654,56823,33461,23047,13620,9887,8015
PR40356,106032,56963,33561,23107,13652,9920,8038
PR40357,106377,57114,33672,23171,13697,9957,8066
PR40358,106650,57202,33753,23222,13716,9977,8083
PR40359,106773,57263,33789,23253,13732,9988,8092
PR40360,107047,57376,33877,23305,13755,10013,8113
PR40361,107323,57496,33973,23362,13794,10040,8135
PR40362,107368,57524,33982,23383,13803,10040,8137
PR40363,107629,57656,34075,23439,13832,10064,8158
PR40364,107836,57751,34147,23490,13858,10080,8177
PR40365,108226,57874,34266,23561,13897,10110,8202
PR40366,108680,58048,34390,23641,13947,10147,8227
PR40367,109065,58244,34500,23710,13991,10180,8253
PR40368,109399,58402,34625,23784,14040,10219,8279
PR40369,109728,58552,34754,23858,14091,10256,8306
PR40370,109847,58621,34803,23892,14107,10271,8322
PR40371,109960,58691,34850,23923,14124,10285,8337
PR40372,110235,58841,34937,23976,14151,10310,8356
PR40373,110469,58975,35017,24025,14174,10333,8373
PR40374,110670,59103,35088,24068,14192,10355,8387
PR40375,110801,59199,35136,24099,14199,10371,8397
PR40376,110909,59277,35178,24124,14203,10385,8406
PR40377,111003,59325,35202,24147,14213,10395,8417
PR40378,111101,59381,35230,24172,14225,10408,8429
PR40379,111194,59429,35251,24196,14233,10419,8439
PR40380,111286,59475,35273,24218,14242,10429,8450
PR40381,111382,59526,35297,24243,14252,10441,8460
PR40382,111478,59588,35329,24268,14267,10453,8472
PR40383,111572,59640,35351,24292,14277,10465,8483
PR40384,112021,59809,35475,24373,14322,10491,8509
PR40385,112412,59971,35583,24449,14368,10518,8530
PR40386,112852,60155,35703,24525,14416,10553,8558
PR40387,113319,60338,35825,24606,14467,10590,8584
PR40388,113763,60503,35947,24681,14516,10626,8609
PR40389,114149,60650,36056,24748,14565,10661,8630
PR40390,114545,60830,36174,24815,14612,10700,8653
PR40391,114892,60982,36293,24881,14657,10739,8677
PR40392,115192,61148,36385,24936,14695,10767,8700
PR40393,115533,61330,36509,25016,14746,10803,8728
PR40394,115875,61515,36630,25096,14797,10839,8756
PR40395,116216,61702,36748,25175,14849,10875,8785
PR40396,116506,61850,36847,25242,14885,10906,8810
PR40397,116604,61910,36889,25276,14897,10926,8823
PR40398,116849,62046,36970,25334,14927,10953,8845
PR40399,117175,62233,37066,25398,14966,10981,8868
PR40400,117549,62445,37192,25471,15014,11019,8892
PR40401,117859,62588,37293,25536,15053,11052,8915
PR40402,118160,62740,37393,25605,15090,11083,8940
PR40403,118318,62842,37451,25639,15110,11098,8955
PR40404,118545,62959,37529,25695,15137,11125,8976
PR40405,118788,63089,37608,25756,15167,11153,8999
PR40406,119012,63216,37683,25814,15194,11180,9021
PR40407,119199,63328,37748,25866,15216,11204,9041
PR40408,119359,63434,37797,25911,15235,11224,9057
PR40409,119515,63535,37847,25961,15255,11246,9075
PR40410,119643,63621,37890,26004,15270,11265,9092
PR40411,119767,63706,37932,26045,15283,11283,9107
PR40412,119984,63829,38004,26104,15312,11310,9131
PR40413,120168,63939,38065,26159,15336,11334,9152
PR40414,120348,64050,38128,26208,15360,11357,9171
PR40415,120496,64151,38176,26255,15378,11378,9188
PR40416,120952,64339,38302,26340,15427,11404,9214
PR40417,121357,64514,38421,26415,15470,11434,9240
PR40418,121709,64670,38539,26493,15514,11458,9264
PR40419,122093,64873,38653,26563,15559,11491,9290
PR40420,122442,65042,38776,26638,15607,11531,9314
PR40421,122791,65209,38899,26714,15655,11569,9341
PR40422,123141,65388,39023,26794,15707,11606,9369
PR40423,123491,65577,39140,26874,15758,11642,9397
PR40424,123837,65768,39257,26954,15809,11678,9426
PR40425,124174,65956,39374,27033,15860,11712,9455
PR40426,124516,66135,39491,27112,15907,11748,9483
PR40427,124820,66282,39593,27178,15946,11781,9507
PR40428,125112,66439,39678,27237,15989,11813,9528
PR40429,125575,66656,39816,27328,16042,11853,9559
PR40430,126000,66817,39936,27398,16092,11889,9583
PR40431,126377,67018,40038,27465,16132,11920,9607
PR40432,126709,67206,40145,27528,16174,11951,9631
PR40433,127008,67375,40241,27585,16214,11979,9655
PR40434,127347,67557,40355,27664,16262,12014,9684
PR40435,127607,67690,40439,27715,16296,12038,9705
PR40436,127903,67840,40538,27783,16330,12069,9729
PR40437,128227,68000,40648,27855,16368,12103,9756
PR40438,128335,68053,40684,27887,16378,12120,9767
PR40439,128582,68185,40766,27947,16406,12147,9789
PR40440,128725,68284,40819,27983,16420,12166,9801
PR40441,128840,68345,40862,28011,16434,12179,9816
PR40442,128956,68407,40907,28040,16449,12192,9831
PR40443,129172,68538,40982,28086,16476,12213,9850
PR40444,129509,68714,41100,28161,16522,12249,9877
PR40445,129794,68862,41192,28228,16555,12279,9902
PR40446,130027,68971,41273,28280,16584,12307,9922
PR40447,130281,69104,41355,28342,16613,12335,9945
PR40448,130472,69221,41415,28393,16636,12358,9964
PR40449,130674,69340,41478,28447,16661,12382,9983
PR40450,130928,69480,41563,28509,16692,12411,10006
PR40451,131069,69560,41612,28551,16709,12433,10021
PR40452,131187,69626,41653,28588,16719,12451,10034
PR40453,131307,69698,41693,28628,16730,12469,10047
PR40454,131515,69823,41756,28681,16757,12493,10066
PR40455,131690,69923,41828,28722,16786,12512,10085
PR40456,131975,70067,41926,28790,16824,12543,10112
PR40457,132181,70187,41995,28845,16850,12568,10133
PR40458,132416,70319,42073,28903,16880,12595,10155
PR40459,132586,70430,42126,28950,16900,12617,10171
PR40460,132788,70548,42190,29006,16927,12642,10191
PR40461,132905,70625,42228,29045,16937,12658,10205
PR40462,133018,70701,42264,29082,16947,12675,10219
PR40463,133128,70776,42301,29118,16956,12691,10233
PR40464,133303,70882,42356,29169,16978,12714,10250
PR40465,133548,71013,42434,29230,17007,12740,10274
PR40466,133790,71144,42511,29287,17034,12766,10296
PR40467,133919,71218,42552,29327,17045,12783,10310
PR40468,134049,71279,42597,29365,17057,12800,10321
PR40469,134326,71403,42672,29424,17085,12825,10340
PR40470,134652,71567,42764,29492,17119,12854,10364
PR40471,134913,71703,42841,29540,17143,12874,10382
PR40472,135274,71889,42953,29617,17186,12910,10411
PR40473,135622,72065,43058,29689,17223,12943,10437
PR40474,135995,72241,43177,29766,17272,12980,10466
PR40475,136344,72386,43272,29833,17306,13011,10490
PR40476,136626,72506,43351,29889,17341,13038,10509
PR40477,136976,72650,43445,29951,17376,13071,10533
PR40478,137299,72799,43539,30014,17414,13104,10558
PR40479,137560,72919,43619,30067,17444,13133,10577
PR40480,137874,73053,43716,30128,17483,13166,10601
PR40481,138252,73213,43832,30204,17528,13199,10630
PR40482,138493,73312,43915,30255,17547,13211,10647
PR40483,138874,73452,44033,30328,17586,13239,10672
PR40484,138923,73477,44029,30343,17587,13238,10676
PR40485,139206,73615,44083,30406,17612,13249,10693
PR40486,139407,73758,44152,30468,17636,13266,10711
PR40487,139617,73893,44226,30527,17660,13285,10729
PR40488,140010,74071,44345,30617,17707,13312,10755
PR40489,140391,74286,44457,30692,17752,13340,10780
PR40490,140770,74497,44585,30767,17802,13377,10807
PR40491,141123,74667,44705,30845,17853,13414,10834
PR40492,141479,74846,44824,30925,17904,13451,10862
PR40493,141765,74998,44907,30981,17936,13475,10884
PR40494,142117,75176,45027,31060,17988,13512,10911
PR40495,142467,75370,45142,31141,18038,13547,10940
PR40496,142759,75523,45231,31195,18077,13573,10962
PR40497,143103,75710,45352,31276,18128,13610,10991
PR40498,143395,75858,45439,31331,18164,13636,11013
PR40499,143723,76018,45509,31407,18203,13654,11034
PR40500,144099,76238,45615,31483,18248,13680,11057
PR40501,144333,76355,45675,31549,18279,13695,11075
PR40502,144583,76514,45769,31603,18313,13722,11097
PR40503,144856,76626,45850,31648,18331,13747,11115
PR40504,145188,76764,45943,31709,18366,13778,11138
PR40505,145478,76877,46026,31759,18388,13804,11156
PR40506,145760,76986,46106,31807,18408,13829,11174
PR40507,146032,77070,46184,31853,18422,13850,11190
PR40508,146287,77159,46263,31902,18439,13869,11207
PR40509,146661,77316,46383,31974,18487,13903,11236
PR40510,146993,77451,46501,32038,18529,13930,11261
PR40511,147167,77526,46557,32077,18552,13947,11275
PR40512,147491,77661,46669,32143,18589,13976,11299
PR40513,147767,77787,46737,32203,18610,13987,11317
PR40514,148164,77973,46852,32280,18652,14014,11342
PR40515,148329,78054,46903,32331,18670,14025,11359
PR40516,148392,78080,46915,32359,18675,14031,11367
PR40517,148689,78244,47010,32433,18707,14055,11389
PR40518,148856,78312,47058,32479,18724,14067,11402
PR40519,149229,78457,47154,32544,18768,14097,11416
PR40520,149618,78676,47260,32617,18811,14128,11441
PR40521,150038,78853,47381,32694,18859,14165,11462
PR40522,150474,79066,47511,32780,18910,14203,11493
PR40523,150896,79247,47632,32860,18959,14241,11516
PR40524,151312,79454,47762,32943,19011,14278,11545
PR40525,151708,79653,47891,33020,19060,14315,11571
PR40526,152067,79829,48018,33090,19110,14355,11595
PR40527,152432,80015,48145,33166,19161,14393,11622
PR40528,152741,80185,48240,33223,19200,14421,11645
PR40529,153094,80367,48368,33300,19251,14458,11673
PR40530,153450,80554,48489,33380,19303,14494,11702
PR40531,153787,80739,48604,33458,19353,14529,11731
PR40532,154118,80908,48731,33539,19403,14565,11759
PR40533,154456,81091,48849,33618,19451,14601,11787
PR40534,154791,81265,48961,33692,19493,14635,11814
PR40535,155101,81407,49034,33764,19527,14651,11834
PR40536,155256,81513,49104,33810,19550,14671,11854
PR40537,155484,81635,49180,33867,19577,14697,11876
PR40538,155733,81767,49261,33928,19606,14725,11899
PR40539,155908,81873,49316,33977,19626,14747,11917
PR40540,156088,81967,49372,34023,19648,14770,11933
PR40541,156212,82046,49419,34062,19664,14792,11947
