,ID,PA,PB,PC,PD,PE,PF,PG
196,PR40197,1682648,1755,3243,2850,3734,1442,1744
197,PR40198,1699573,1772,3275,2879,3772,1457,1762
198,PR40199,1716575,1790,3309,2908,3810,1471,1779
199,PR40200,1733655,1808,3342,2937,3848,1486,1797
200,PR40201,1750814,1826,3375,2966,3886,1501,1815
201,PR40202,1768052,1845,3409,2996,3925,1516,1833
202,PR40203,1785369,1863,3443,3025,3963,1531,1851
203,PR40204,1802767,1881,3476,3055,4002,1546,1870
204,PR40205,1820240,1900,3511,3085,4041,1561,1888
205,PR40206,1837794,1918,3545,3115,4080,1577,1907
206,PR40207,1855432,1937,3579,3146,4120,1592,1925
207,PR40208,1873151,1956,3614,3176,4159,1607,1944
208,PR40209,1890947,1974,3649,3206,4199,1623,1962
209,PR40210,1908827,1993,3683,3237,4239,1638,1981
210,PR40211,1926793,2012,3719,3268,4279,1654,2000
211,PR40212,1944847,2031,3754,3299,4319,1670,2019
212,PR40213,1962990,2051,3789,3330,4359,1685,2038
213,PR40214,1981214,2070,3825,3361,4400,1701,2057
214,PR40215,1999527,2089,3861,3393,4441,1717,2076
215,PR40216,2017930,2109,3897,3424,4482,1733,2096
216,PR40217,2036416,2128,3933,3456,4523,1749,2115
217,PR40218,2054988,2148,3969,3488,4565,1765,2135
218,PR40219,2073643,2167,4005,3520,4606,1781,2154
219,PR40220,2092381,2187,4042,3552,4648,1798,2174
220,PR40221,2111202,2207,4079,3584,4690,1814,2194
221,PR40222,2130104,2227,4115,3617,4732,1830,2213
222,PR40223,2149089,2247,4153,3649,4775,1847,2233
223,PR40224,2168155,2267,4190,3682,4817,1863,2253
224,PR40225,2187301,2288,4227,3715,4860,1880,2274
225,PR40226,2206529,2308,4265,3748,4903,1897,2294
226,PR40227,2225836,2328,4303,3781,4946,1914,2314
227,PR40228,2245217,2349,4340,3815,4989,1930,2334
228,PR40229,2264677,2369,4379,3848,5033,1947,2355
229,PR40230,2284217,2390,4417,3882,5076,1964,2376
230,PR40231,2303836,2411,4455,3915,5120,1981,2396
231,PR40232,2323535,2432,4494,3949,5164,1999,2417
232,PR40233,2343312,2453,4533,3983,5208,2016,2438
233,PR40234,2363166,2474,4571,4018,5252,2033,2459
234,PR40235,2383098,2495,4611,4052,5297,2051,2480
235,PR40236,2403100,2516,4650,4086,5341,2068,2501
236,PR40237,2423179,2538,4689,4121,5386,2086,2522
237,PR40238,2443330,2559,4729,4156,5431,2103,2543
238,PR40239,2463560,2580,4768,4191,5476,2121,2565
239,PR40240,2483869,2602,4808,4226,5522,2139,2586
240,PR40241,2504260,2624,4848,4261,5567,2156,2608
241,PR40242,2524728,2646,4889,4296,5613,2174,2629
242,PR40243,2545281,2667,4929,4332,5659,2192,2651
243,PR40244,2565913,2689,4970,4368,5705,2210,2673
244,PR40245,2586625,2711,5010,4403,5752,2228,2695
245,PR40246,2607418,2734,5051,4439,5798,2247,2717
246,PR40247,2628293,2756,5092,4475,5845,2265,2739
247,PR40248,2649251,2778,5134,4512,5892,2283,2761
248,PR40249,2670298,2801,5175,4548,5939,2302,2783
249,PR40250,2691428,2823,5217,4585,5987,2320,2806
250,PR40251,2712633,2846,5258,4621,6035,2339,2828
251,PR40252,2733918,2868,5300,4658,6082,2357,2851
252,PR40253,2755283,2891,5342,4695,6130,2376,2873
253,PR40254,2776727,2914,5385,4732,6179,2395,2896
254,PR40255,2798249,2937,5427,4769,6227,2414,2919
255,PR40256,2819850,2960,5470,4807,6276,2433,2942
256,PR40257,2841529,2983,5512,4844,6324,2452,2965
257,PR40258,2863285,3006,5555,4882,6373,2471,2988
258,PR40259,2885112,3030,5598,4920,6422,2490,3011
259,PR40260,2907029,3053,5641,4958,6471,2509,3034
260,PR40261,2929035,3076,5685,4996,6521,2528,3058
261,PR40262,2951130,3100,5728,5034,6570,2548,3081
262,PR40263,2973313,3124,5772,5073,6620,2567,3105
263,PR40264,2995575,3147,5816,5111,6670,2587,3128
264,PR40265,3017916,3171,5860,5150,6720,2606,3152
265,PR40266,3040343,3195,5904,5189,6771,2626,3176
266,PR40267,3062854,3219,5949,5228,6821,2646,3200
267,PR40268,3085449,3243,5993,5267,6872,2666,3224
268,PR40269,3108128,3268,6038,5306,6923,2686,3248
269,PR40270,3130889,3292,6083,5346,6974,2706,3272
270,PR40271,3153731,3316,6128,5385,7025,2726,3296
271,PR40272,3176656,3341,6173,5425,7077,2746,3320
272,PR40273,3199661,3365,6219,5465,7128,2766,3345
273,PR40274,3222746,3390,6264,5505,7180,2786,3369
274,PR40275,3245912,3415,6310,5545,7232,2807,3394
275,PR40276,3269157,3440,6356,5586,7284,2827,3419
276,PR40277,3292481,3464,6402,5626,7336,2847,3443
277,PR40278,3315886,3489,6448,5667,7388,2868,3468
278,PR40279,3339380,3515,6495,5708,7441,2889,3493
279,PR40280,3362965,3540,6541,5748,7493,2909,3518
280,PR40281,3386633,3565,6588,5790,7546,2930,3543
281,PR40282,3410390,3590,6635,5831,7599,2951,3569
282,PR40283,3434238,3616,6682,5872,7653,2972,3594
283,PR40284,3458174,3641,6729,5914,7706,2993,3619
284,PR40285,3482201,3667,6776,5955,7760,3014,3645
285,PR40286,3506316,3693,6824,5997,7814,3035,3670
286,PR40287,3530519,3719,6872,6039,7868,3056,3696
287,PR40288,3554802,3745,6920,6081,7922,3078,3722
288,PR40289,3579173,3771,6968,6123,7976,3099,3748
289,PR40290,3603631,3797,7016,6166,8031,3120,3774
290,PR40291,3628176,3823,7064,6208,8086,3142,3800
291,PR40292,3652807,3849,7113,6251,8141,3164,3826
292,PR40293,3677523,3876,7161,6294,8196,3185,3852
293,PR40294,3702316,3902,7210,6337,8251,3207,3878
294,PR40295,3727193,3929,7259,6380,8307,3229,3905
295,PR40296,3752154,3955,7309,6423,8362,3251,3931
296,PR40297,3777198,3982,7358,6466,8418,3273,3958
297,PR40298,3802327,4009,7408,6510,8474,3295,3984
298,PR40299,3827532,4036,7457,6554,8530,3317,4011
299,PR40300,3852820,4063,7507,6598,8586,3339,4038
300,PR40301,3878184,4090,7557,6642,8643,3361,4065
301,PR40302,3903630,4117,7607,6686,8700,3384,4092
302,PR40303,3929158,4144,7658,6730,8756,3406,4119
303,PR40304,3954765,4172,7708,6774,8814,3429,4146
304,PR40305,3980454,4199,7759,6819,8871,3451,4173
305,PR40306,4006223,4227,7810,6864,8928,3474,4201
306,PR40307,4032071,4254,7861,6909,8986,3496,4228
307,PR40308,4058001,4282,7912,6954,9043,3519,4256
308,PR40309,4084011,4310,7964,6999,9101,3542,4283
309,PR40310,4110102,4338,8015,7044,9159,3565,4311
310,PR40311,4136272,4366,8067,7089,9217,3588,4339
311,PR40312,4162523,4394,8119,7135,9276,3611,4367
312,PR40313,4188854,4422,8171,7181,9334,3634,4395
313,PR40314,4215265,4450,8223,7227,9393,3657,4423
314,PR40315,4241755,4478,8275,7273,9451,3681,4451
315,PR40316,4268326,4507,8328,7319,9510,3704,4479
316,PR40317,4294979,4535,8381,7365,9570,3728,4508
317,PR40318,4321713,4564,8434,7412,9629,3751,4536
318,PR40319,4348529,4593,8487,7458,9689,3775,4565
319,PR40320,4375421,4622,8540,7505,9748,3798,4593
320,PR40321,4402387,4650,8593,7552,9808,3822,4622
321,PR40322,4429433,4679,8647,7599,9868,3846,4651
322,PR40323,4456558,4708,8700,7646,9929,3870,4680
323,PR40324,4483763,4738,8754,7694,9989,3894,4709
324,PR40325,4511048,4767,8808,7741,10050,3918,4738
325,PR40326,4538413,4796,8863,7789,10111,3942,4767
326,PR40327,4565850,4826,8917,7836,10172,3966,4796
327,PR40328,4593370,4855,8971,7884,10233,3990,4825
328,PR40329,4620966,4885,9026,7932,10294,4015,4855
329,PR40330,4648639,4914,9081,7981,10356,4039,4884
330,PR40331,4676390,4944,9136,8029,10417,4064,4914
331,PR40332,4704218,4974,9191,8078,10479,4088,4944
332,PR40333,4732127,5004,9247,8126,10541,4113,4973
333,PR40334,4760116,5034,9302,8175,10604,4138,5003
334,PR40335,4788185,5064,9358,8224,10666,4162,5033
335,PR40336,4816333,5095,9414,8273,10728,4187,5063
336,PR40337,4844560,5125,9470,8322,10791,4212,5094
337,PR40338,4872867,5155,9526,8372,10854,4237,5124
338,PR40339,4901255,5186,9582,8421,10917,4262,5154
339,PR40340,4929716,5216,9639,8471,10980,4287,5184
340,PR40341,4958258,5247,9696,8521,11044,4313,5215
341,PR40342,4986882,5278,9752,8571,11107,4338,5246
342,PR40343,5015580,5309,9810,8621,11171,4363,5276
343,PR40344,5044361,5340,9867,8671,11235,4389,5307
344,PR40345,5073217,5371,9924,8722,11299,4414,5338
345,PR40346,5102157,5402,9982,8772,11364,4440,5369
346,PR40347,5131180,5433,10039,8823,11428,4465,5400
347,PR40348,5160289,5464,10097,8874,11493,4491,5431
348,PR40349,5189483,5496,10155,8925,11558,4517,5462
349,PR40350,5218762,5527,10213,8976,11623,4543,5494
350,PR40351,5248127,5559,10272,9027,11688,4569,5525
351,PR40352,5277571,5591,10330,9079,11753,4595,5556
352,PR40353,5307103,5622,10389,9130,11819,4621,5588
353,PR40354,5336716,5654,10448,9182,11885,4647,5620
354,PR40355,5366418,5686,10507,9234,11951,4673,5651
355,PR40356,5396201,5718,10566,9286,12017,4700,5683
356,PR40357,5426075,5750,10625,9338,12083,4726,5715
357,PR40358,5456031,5782,10685,9390,12150,4753,5747
358,PR40359,5486080,5815,10745,9443,12217,4779,5779
359,PR40360,5516212,5847,10805,9495,12284,4806,5811
360,PR40361,5546437,5880,10865,9548,12351,4833,5844
361,PR40362,5576756,5912,10925,9601,12419,4859,5876
362,PR40363,5607162,5945,10985,9654,12486,4886,5909
363,PR40364,5637663,5978,11046,9707,12554,4913,5941
364,PR40365,5668252,6011,11106,9761,12622,4940,5974
365,PR40366,5698935,6043,11167,9814,12691,4967,6007
366,PR40367,5729700,6077,11228,9868,12759,4994,6039
367,PR40368,5760551,6110,11289,9922,12828,5021,6072
368,PR40369,5791487,6143,11351,9975,12896,5049,6105
369,PR40370,5822498,6176,11412,10030,12965,5076,6138
370,PR40371,5853585,6210,11474,10084,13035,5104,6172
371,PR40372,5884751,6243,11536,10138,13104,5131,6205
372,PR40373,5915994,6277,11598,10193,13174,5159,6238
373,PR40374,5947315,6310,11660,10247,13243,5186,6272
374,PR40375,5978714,6344,11722,10302,13313,5214,6305
375,PR40376,6010189,6378,11785,10357,13383,5242,6339
376,PR40377,6041738,6412,11848,10412,13453,5270,6373
377,PR40378,6073360,6446,11911,10467,13524,5298,6406
378,PR40379,6105054,6480,11974,10523,13595,5326,6440
379,PR40380,6136821,6514,12037,10578,13665,5354,6474
380,PR40381,6168661,6548,12100,10634,13736,5382,6508
381,PR40382,6200574,6583,12164,10690,13808,5410,6543
382,PR40383,6232559,6617,12227,10746,13879,5439,6577
383,PR40384,6264641,6652,12291,10802,13951,5467,6611
384,PR40385,6296818,6686,12355,10858,14022,5496,6646
385,PR40386,6329083,6721,12419,10915,14094,5524,6680
386,PR40387,6361443,6756,12484,10971,14167,5553,6715
387,PR40388,6393895,6791,12548,11028,14239,5581,6749
388,PR40389,6426441,6826,12613,11085,14311,5610,6784
389,PR40390,6459077,6861,12678,11142,14384,5639,6819
390,PR40391,6491798,6896,12743,11199,14457,5668,6854
391,PR40392,6524595,6931,12808,11256,14530,5697,6889
392,PR40393,6557474,6967,12873,11314,14603,5726,6924
393,PR40394,6590435,7002,12939,11371,14676,5755,6959
394,PR40395,6623477,7038,13004,11429,14750,5784,6995
395,PR40396,6656599,7073,13070,11487,14824,5814,7030
396,PR40397,6689800,7109,13136,11545,14897,5843,7066
397,PR40398,6723079,7145,13203,11603,14971,5872,7101
398,PR40399,6756438,7181,13269,11661,15046,5902,7137
399,PR40400,6789885,7217,13335,11720,15120,5932,7173
400,PR40401,6823413,7253,13402,11778,15194,5961,7209
401,PR40402,6857022,7289,13469,11837,15269,5991,7245
402,PR40403,6890702,7325,13536,11896,15344,6021,7281
403,PR40404,6924463,7362,13603,11955,15419,6051,7317
404,PR40405,6958303,7398,13670,12014,15494,6081,7353
405,PR40406,6992222,7435,13738,12073,15570,6111,7389
406,PR40407,7026219,7471,13806,12133,15645,6141,7426
407,PR40408,7060294,7508,13873,12193,15721,6171,7462
408,PR40409,7094447,7545,13941,12252,15797,6201,7499
409,PR40410,7128678,7582,14010,12312,15873,6231,7535
410,PR40411,7162987,7619,14078,12372,15949,6262,7572
411,PR40412,7197374,7656,14147,12432,16025,6292,7609
412,PR40413,7231840,7693,14215,12493,16102,6323,7646
413,PR40414,7266384,7730,14284,12553,16179,6354,7683
414,PR40415,7301005,7768,14353,12614,16255,6384,7720
415,PR40416,7335724,7805,14422,12675,16333,6415,7757
416,PR40417,7370531,7843,14492,12736,16410,6446,7795
417,PR40418,7405434,7880,14561,12797,16487,6477,7832
418,PR40419,7440420,7918,14631,12858,16565,6508,7870
419,PR40420,7475494,7956,14701,12919,16643,6539,7907
420,PR40421,7510652,7994,14771,12981,16721,6570,7945
421,PR40422,7545892,8032,14841,13043,16799,6601,7983
422,PR40423,7581214,8070,14911,13104,16877,6632,8020
423,PR40424,7616618,8108,14982,13166,16956,6664,8058
424,PR40425,7652103,8146,15052,13228,17034,6695,8096
425,PR40426,7687670,8184,15123,13291,17113,6727,8134
426,PR40427,7723317,8223,15194,13353,17192,6758,8173
427,PR40428,7759047,8261,15265,13416,17271,6790,8211
428,PR40429,7794869,8300,15337,13478,17351,6822,8249
429,PR40430,7830783,8339,15408,13541,17430,6854,8288
430,PR40431,7866778,8377,15480,13604,17510,6885,8326
431,PR40432,7902854,8416,15552,13667,17590,6917,8365
432,PR40433,7939006,8455,15624,13731,17670,6949,8404
433,PR40434,7975239,8494,15696,13794,17750,6982,8442
434,PR40435,8011546,8533,15768,13858,17830,7014,8481
435,PR40436,8047932,8573,15841,13921,17911,7046,8520
436,PR40437,8084399,8612,15913,13985,17992,7078,8559
437,PR40438,8120946,8651,15986,14049,18073,7111,8599
438,PR40439,8157572,8691,16059,14113,18154,7143,8638
439,PR40440,8194275,8731,16132,14178,18235,7176,8677
440,PR40441,8231053,8770,16206,14242,18317,7208,8717
441,PR40442,8267907,8810,16279,14307,18398,7241,8756
442,PR40443,8304834,8850,16353,14371,18480,7274,8796
443,PR40444,8341842,8890,16427,14436,18562,7307,8836
444,PR40445,8378930,8930,16501,14501,18645,7339,8875
445,PR40446,8416099,8970,16575,14566,18727,7372,8915
446,PR40447,8453347,9010,16649,14632,18810,7406,8955
447,PR40448,8490673,9051,16724,14697,18892,7439,8995
448,PR40449,8528079,9091,16798,14763,18975,7472,9035
449,PR40450,8565564,9131,16873,14829,19058,7505,9076
450,PR40451,8603128,9172,16948,14895,19141,7539,9116
451,PR40452,8640770,9213,17023,14961,19225,7572,9156
452,PR40453,8678491,9254,17099,15027,19308,7605,9197
453,PR40454,8716290,9294,17174,15093,19392,7639,9238
454,PR40455,8754161,9335,17250,15160,19476,7673,9278
455,PR40456,8792111,9376,17325,15226,19560,7706,9319
456,PR40457,8830140,9417,17401,15293,19644,7740,9360
457,PR40458,8868247,9459,17478,15360,19729,7774,9401
458,PR40459,8906432,9500,17554,15427,19813,7808,9442
459,PR40460,8944696,9541,17630,15494,19898,7842,9483
460,PR40461,8983038,9583,17707,15562,19983,7876,9524
461,PR40462,9021458,9624,17784,15629,20068,7910,9566
462,PR40463,9059956,9666,17861,15697,20153,7945,9607
463,PR40464,9098533,9708,17938,15765,20238,7979,9649
464,PR40465,9137188,9750,18015,15833,20324,8013,9690
465,PR40466,9175922,9792,18093,15901,20410,8048,9732
466,PR40467,9214735,9834,18171,15969,20496,8082,9774
467,PR40468,9253627,9876,18248,16037,20582,8117,9815
468,PR40469,9292599,9918,18326,16106,20668,8152,9857
469,PR40470,9331652,9960,18405,16175,20754,8186,9899
470,PR40471,9370779,10003,18483,16243,20841,8221,9942
471,PR40472,9409987,10045,18561,16312,20928,8256,9984
472,PR40473,9449278,10088,18640,16382,21015,8291,10026
473,PR40474,9488652,10130,18719,16451,21102,8326,10069
474,PR40475,9528109,10173,18798,16520,21189,8361,10111
475,PR40476,9567651,10216,18877,16590,21277,8397,10154
476,PR40477,9607277,10259,18956,16659,21364,8432,10196
477,PR40478,9646991,10302,19036,16729,21452,8467,10239
478,PR40479,9686794,10345,19115,16799,21540,8503,10282
479,PR40480,9726688,10388,19195,16869,21628,8538,10325
480,PR40481,9766673,10432,19275,16940,21717,8574,10368
481,PR40482,9806755,10475,19355,17010,21805,8609,10411
482,PR40483,9846926,10518,19436,17081,21894,8645,10454
483,PR40484,9887195,10562,19516,17152,21983,8681,10497
484,PR40485,9927564,10606,19597,17222,22072,8717,10541
485,PR40486,9968022,10649,19678,17293,22162,8753,10584
486,PR40487,10008570,10693,19759,17365,22251,8789,10628
487,PR40488,10049213,10737,19840,17436,22341,8825,10671
488,PR40489,10089944,10781,19921,17507,22431,8861,10715
489,PR40490,10130762,10825,20002,17579,22522,8897,10759
490,PR40491,10171663,10869,20084,17651,22612,8934,10803
491,PR40492,10212647,10914,20166,17723,22702,8970,10847
492,PR40493,10253707,10958,20248,17795,22793,9006,10891
493,PR40494,10294850,11002,20330,17867,22884,9043,10935
494,PR40495,10336075,11047,20412,17939,22975,9080,10979
495,PR40496,10377374,11092,20495,18012,23066,9116,11024
496,PR40497,10418755,11136,20577,18084,23158,9153,11068
497,PR40498,10460210,11181,20660,18157,23249,9190,11113
498,PR40499,10501763,11226,20743,18230,23341,9227,11157
499,PR40500,10543406,11271,20826,18303,23433,9264,11202
500,PR40501,10585147,11316,20910,18376,23525,9301,11247
501,PR40502,10626969,11361,20993,18450,23618,9338,11292
502,PR40503,10668868,11407,21077,18523,23711,9375,11337
503,PR40504,10710853,11452,21161,18597,23803,9412,11382
504,PR40505,10752917,11497,21245,18671,23896,9450,11427
505,PR40506,10795061,11543,21329,18745,23990,9487,11472
506,PR40507,10837287,11589,21413,18819,24083,9525,11518
507,PR40508,10879596,11634,21498,18893,24177,9562,11563
508,PR40509,10921997,11680,21582,18967,24271,9600,11609
509,PR40510,10964491,11726,21667,19042,24365,9638,11654
510,PR40511,11007079,11772,21752,19116,24459,9675,11700
511,PR40512,11049754,11818,21837,19191,24554,9713,11746
512,PR40513,11092527,11864,21922,19266,24648,9751,11792
